name,location,cuisines,votes,rating,cost_for_two
Kolkata Famous Kati Rolls,Hebbal,"Fast Food, Rolls",79,3.8,200.0
SKS Veg Corner,Sahakara Nagar,South Indian,43,3.4,300.0
Bengaluru Cafe,Sanjay Nagar,South Indian,4,3.3,150.0
Abzain Paradise,Sanjay Nagar,North Indian,42,2.9,300.0
Mabra Family Restaurant,Sanjay Nagar,"North Indian, Chinese",33,3.1,450.0
New Golden Emperor,Yeshwantpur,"North Indian, Chinese, Fast Food",229,3.7,400.0
Chapter One Bar | Maiin,New BEL Road,"Continental, Italian, North Indian",997,4.2,1400.0
Gilly's Restobar,New BEL Road,"Continental, Finger Food, North Indian, Chinese",2732,4.5,1200.0
1522 - The Pub,New BEL Road,"Chinese, Continental, North Indian",969,4.3,1400.0
Hammered,New BEL Road,"North Indian, Continental, Cafe",2935,4.5,1200.0
Black Jack,New BEL Road,"North Indian, Chinese",318,3.7,1400.0
B1,New BEL Road,"Continental, Burger, Italian, Pizza, North Indian, Salad",123,3.9,1100.0
Obsidian Sports and Music Bar -Gokulam Grand Hotel &...,New BEL Road,Continental,37,3.7,2000.0
Gilly's Restobar,New BEL Road,"Continental, Finger Food, North Indian, Chinese",2732,4.5,1200.0
Chapter One Bar | Maiin,New BEL Road,"Continental, Italian, North Indian",997,4.2,1400.0
1522 - The Pub,New BEL Road,"Chinese, Continental, North Indian",969,4.3,1400.0
Hammered,New BEL Road,"North Indian, Continental, Cafe",2935,4.5,1200.0
Chin Lung Resto-Bar,New BEL Road,"North Indian, Chinese, Fast Food",307,4.0,1000.0
Black Jack,New BEL Road,"North Indian, Chinese",318,3.7,1400.0
B1,New BEL Road,"Continental, Burger, Italian, Pizza, North Indian, Salad",123,3.9,1100.0
Big Pitcher,Old Airport Road,"American, Continental, North Indian, Mediterranean",9272,4.6,1800.0
Peacock,Indiranagar,"North Indian, BBQ, Mughlai",861,4.0,1200.0
Ministry of Food - Hilton Bangalore Embassy GolfLinks,Domlur,"North Indian, Asian, South Indian, Italian, European",473,4.2,3000.0
Citrus - The Leela Palace,Old Airport Road,"North Indian, Italian, Asian, Continental, Mediterranean",597,4.2,3500.0
Limelight - Royal Orchid Hotel,Old Airport Road,"Continental, North Indian",428,3.9,2200.0
20 Char - Sterlings MAC Hotel,Old Airport Road,"Chinese, Continental, North Indian, South Indian, Arabian",427,4.0,1400.0
Shebestan - Sterlings MAC Hotel,Old Airport Road,Arabian,407,4.2,1500.0
Java,Old Airport Road,"North Indian, Chinese",39,3.7,700.0
Barbeque Nation,Indiranagar,"North Indian, European, Mediterranean, BBQ, Kebab",7261,4.7,1600.0
LOFT38,Indiranagar,"Italian, BBQ, Asian, Fast Food",3655,4.3,1900.0
Little Italy,Indiranagar,"Italian, Pizza, Mexican",3305,4.2,1400.0
Mainland China,Indiranagar,Chinese,1554,4.4,1700.0
Dhaba - Estd 1986 Delhi,Indiranagar,"North Indian, Mughlai, Desserts",1522,4.4,1500.0
Urban Tamaasha,Indiranagar,"North Indian, Chinese, Continental",880,4.1,1200.0
Pasta Street,Indiranagar,"Italian, Pizza, Salad",1670,4.5,1300.0
Oye Amritsar,Indiranagar,North Indian,1488,3.9,600.0
Empire Restaurant,Indiranagar,"North Indian, Mughlai, South Indian, Chinese",8286,4.1,750.0
Southindies,Indiranagar,"South Indian, Chettinad, Kerala, Sri Lankan",1231,4.0,800.0
The Kebab Room - Restaurant & Brewery,Indiranagar,"Mughlai, North Indian",776,4.0,1000.0
Zaica Dine & Wine,Indiranagar,North Indian,1021,4.0,1200.0
Copper Chimney,Indiranagar,"North Indian, Biryani",97,4.2,1200.0
Sidewalk Cafe & Bar - The Paul Bangalore,Domlur,"European, Italian, Asian",217,4.2,1500.0
The Hub & The Bar - Hotel Ramada Encore,Domlur,"North Indian, Continental, Chinese, European",120,3.9,1700.0
The Paramount Hotel,Domlur,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",325,2.9,1000.0
Flavors of India,Domlur,"North Indian, South Indian, Andhra, Mughlai",6,3.5,600.0
Avanti Indian Barbeque & Grill,Domlur,North Indian,46,3.4,1100.0
House Of Seitan,Indiranagar,"Healthy Food, Burger, Beverages, Cafe, Sandwich, Salad",38,4.0,700.0
Cup Chronicles Cafe,Indiranagar,"Continental, Desserts, Beverages",58,3.9,450.0
Brown Crust Cafe,Old Airport Road,"Cafe, Italian, Desserts",20,3.2,300.0
The Chocolate Heaven,Old Airport Road,"Desserts, Cafe, Italian, Beverages",139,3.8,700.0
Talk Over Table,Jeevan Bhima Nagar,Cafe,287,4.0,500.0
Cafe Oleiva,Thippasandra,Cafe,6,3.4,500.0
9th Cross Cafe,Jeevan Bhima Nagar,"Cafe, Italian, French",12,3.6,550.0
Lavonne,Indiranagar,"Cafe, Desserts",1130,4.4,800.0
Smoor,Indiranagar,"Desserts, Cafe, Beverages",1732,4.6,900.0
Ciclo Cafe,Indiranagar,"Cafe, Italian, American",1331,4.3,1000.0
Lazy Suzy,Indiranagar,"Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",1258,4.3,1000.0
Loveshack,Domlur,"Continental, Pizza, North Indian, Goan, Cafe",1806,4.0,1600.0
Chai Days,Indiranagar,"Cafe, Tea, Beverages, Fast Food",132,4.5,200.0
Bean Flickers,Indiranagar,"Cafe, American, Fast Food, Coffee, Continental",397,4.3,700.0
Tea Brew,Indiranagar,"Cafe, Continental, Momos, Italian, North Indian",1157,4.1,500.0
Infinitea Tea Room & Tea Store,Indiranagar,"Continental, Cafe, Desserts, Salad, Momos",771,4.3,1000.0
Waffle Magic,Indiranagar,"Cafe, Desserts",592,4.2,700.0
The Ants Cafe & Store,Indiranagar,"Cafe, Italian, Fast Food",1387,3.9,800.0
Smally's Resto Cafe,Indiranagar,"Cafe, Italian, Burger, American, Steak",424,4.1,650.0
Mama Mia!,Indiranagar,"Desserts, Cafe",428,4.3,400.0
Gobble Up Churros Cafe,Indiranagar,"Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",379,4.3,400.0
Cafe Braqa,Indiranagar,"Cafe, Italian, Continental, Beverages",147,4.1,700.0
Starbucks,Indiranagar,"Cafe, Desserts",591,4.2,700.0
Chantilly,Indiranagar,"Cafe, Bakery",124,4.1,450.0
Django,Indiranagar,"Beverages, Italian, Pizza, Burger",220,4.0,800.0
Tata Cha,Indiranagar,"Cafe, Tea, North Indian",681,3.9,500.0
Grubhouse,Indiranagar,"Cafe, Continental",338,4.1,800.0
Eddy's Cafe,Indiranagar,"Cafe, American, Salad, Continental, Healthy Food, Italian, Coffee, Desserts",142,4.1,750.0
Lahe Lahe Santhe,Indiranagar,"Cafe, Beverages",20,3.8,300.0
D'Cafe,Domlur,"Cafe, Coffee, Continental",18,3.8,500.0
Lakeview Milkbar,Indiranagar,"Fast Food, Desserts, Cafe",544,2.9,600.0
UBCR,Indiranagar,Fast Food,5,3.3,200.0
Barista,Domlur,Cafe,18,3.6,300.0
iSpice Resto Cafe,Indiranagar,"North Indian, Chinese, Fast Food",32,3.7,500.0
J's Cafe,Indiranagar,"Cafe, Continental",155,3.9,700.0
Costa Coffee,Indiranagar,Cafe,211,3.8,500.0
Cup Shup,Indiranagar,"Cafe, Continental, Fast Food",185,2.8,500.0
Chai Cafe,Indiranagar,Cafe,49,3.9,200.0
Raenss Cafe,Indiranagar,"Cafe, Fast Food",128,2.4,600.0
Breadworks,Indiranagar,"Bakery, Cafe",48,2.9,500.0
Cross Roads Cafe,Indiranagar,"Cafe, Italian, Tex-Mex, Fast Food, Burger",59,3.0,500.0
Melting Spot,Indiranagar,"Cafe, Desserts, Beverages, Italian",134,4.0,600.0
Cafe Velvette,Domlur,"Cafe, American, Italian, Continental",11,3.4,400.0
Hot Spot Cafe,Domlur,"Cafe, Fast Food",17,2.9,150.0
C-harge by Chefkraft,Indiranagar,"Cafe, Continental",7,3.4,600.0
eat.fit,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Desserts",875,4.5,500.0
BOX8- Desi Meals,Old Airport Road,"North Indian, Mughlai, Fast Food",464,4.3,500.0
Kerala Pavilion,Domlur,"Kerala, South Indian, Seafood, Biryani",307,3.9,300.0
Chai Days,Indiranagar,"Cafe, Tea, Beverages, Fast Food",132,4.5,200.0
Ghar Ki Rasoi,Indiranagar,"North Indian, Chinese, Italian",50,3.1,500.0
Shanmukha,Old Airport Road,"Biryani, Andhra, North Indian, Chinese",149,3.8,800.0
DinePost9,Marathahalli,"North Indian, South Indian, Chinese, Continental",798,3.8,450.0
FreshMenu,East Bangalore,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",1093,3.8,450.0
A 1 Pizza and Food,Old Airport Road,"Pizza, Chinese, North Indian",215,2.8,300.0
Chandni Chowk 2 Bangalore,Jeevan Bhima Nagar,"North Indian, Rolls",252,4.2,400.0
New Krishna Sagar,Indiranagar,"South Indian, North Indian, Chinese",35,3.5,300.0
XO Belgian Waffle,Indiranagar,"Desserts, Beverages",95,4.4,400.0
Dal Roti Sabji,Indiranagar,North Indian,86,4.1,150.0
Red Kitchen,Jeevan Bhima Nagar,"North Indian, South Indian, Chinese",154,3.4,200.0
Gurukrupa Paratha House,Old Airport Road,"North Indian, Chinese",644,3.9,400.0
Burger King,Indiranagar,"Burger, Fast Food, Beverages",1400,4.0,600.0
Donne Biriyani House,Indiranagar,Biryani,494,4.0,300.0
Empire Restaurant,Indiranagar,"North Indian, Mughlai, South Indian, Chinese",8286,4.1,750.0
Sree Spicy Hub,Jeevan Bhima Nagar,"Andhra, Biryani, South Indian",234,3.9,600.0
Pathaan Sir,Indiranagar,"Fast Food, Momos, Rolls",55,3.3,250.0
Zawaa Foods,Old Airport Road,"Continental, South Indian, North Indian, Arabian",42,3.4,400.0
Bharpur Aahar,Jeevan Bhima Nagar,"North Indian, Chinese",419,3.9,200.0
Sri Udupi Park,Indiranagar,"South Indian, North Indian, Chinese, Beverages",781,4.2,300.0
Chakum Chukum Calcutta On A Roll,Indiranagar,"Fast Food, Rolls",94,2.8,400.0
Kabab Souq,Thippasandra,"North Indian, Chinese, Arabian, BBQ, Middle Eastern",315,3.8,400.0
Chowpatty,Indiranagar,"North Indian, Fast Food, Street Food",929,3.9,300.0
Firangi Bake,Indiranagar,"Mexican, Italian",58,3.9,600.0
Midnight Mania,Koramangala 6th Block,"Pizza, Italian, Beverages",731,4.0,700.0
Fresh Aahar,Indiranagar,"Biryani, Mangalorean, Kerala",43,3.9,400.0
Lion King,Kaggadasapura,"Chinese, Momos",76,3.8,250.0
Punjabi Tandoor,Kaggadasapura,"North Indian, Chinese",251,3.6,700.0
Roti Shotti,Jeevan Bhima Nagar,North Indian,62,3.8,400.0
Khushi Kitchen,Thippasandra,"Street Food, North Indian, Bengali, Oriya",74,3.4,400.0
Chakh Le Foods,Jeevan Bhima Nagar,"North Indian, Mughlai, Bengali, Chinese",258,3.4,500.0
Khan Saheb Grills and Rolls,Indiranagar,"Fast Food, Rolls",1074,4.0,400.0
Behrouz Biryani,Old Airport Road,Biryani,88,4.0,650.0
Sagar Deluxe,Jeevan Bhima Nagar,"South Indian, North Indian, Chinese",161,3.4,350.0
The Paramount Hotel,Domlur,"North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",325,2.9,1000.0
Tripura Express,Old Airport Road,"Pizza, Beverages",168,3.0,450.0
Delite Chaat House,Indiranagar,"Street Food, Gujarati",454,4.0,300.0
FoodIshq,Kaggadasapura,North Indian,175,4.0,450.0
Corner House Ice Cream,Indiranagar,"Ice Cream, Desserts",2172,4.7,400.0
Mojo Pizza - 2X Toppings,Old Airport Road,Pizza,227,4.2,600.0
Zaitoon,Old Airport Road,"BBQ, Arabian, Chinese, North Indian, Desserts",2032,4.3,1000.0
Leon Grill,Jeevan Bhima Nagar,"Burger, Fast Food",1344,4.2,500.0
Warm Oven,Domlur,"Bakery, Desserts",895,4.3,500.0
Kunda Biryani,CV Raman Nagar,"Hyderabadi, Biryani, North Indian",198,3.8,800.0
Rajdhani Thali Restaurant,Indiranagar,North Indian,1137,4.0,1000.0
Motis Kitchen,Thippasandra,"South Indian, Kerala, Biryani",563,4.1,350.0
Meghana Foods,Indiranagar,North Indian,1774,4.2,800.0
Paradise,Indiranagar,"Biryani, North Indian, Kebab",3268,4.0,800.0
Maravanthe,Indiranagar,"Seafood, Mangalorean",711,4.4,1000.0
VSV Chettinad,Kaggadasapura,"Chettinad, South Indian, Chinese, Seafood, Rolls, North Indian",73,3.3,600.0
New Punjabi Hotel,Old Airport Road,"North Indian, Chinese",393,3.2,400.0
Chef's Cap Chinese Cuisine Restaurant,Old Airport Road,Chinese,37,3.9,400.0
Hongkong Garden,Kaggadasapura,"Chinese, Thai, Seafood, Momos",310,3.9,500.0
Dindigul Thalappakatti,Indiranagar,"Biryani, Chinese, North Indian, South Indian",326,4.2,800.0
KFC,Old Airport Road,"Burger, Fast Food",332,3.9,400.0
Potful,Domlur,"Biryani, Kebab, Rolls, Mughlai",1135,4.1,650.0
The Good Bowl,Indiranagar,"Italian, North Indian, Biryani",15,3.7,500.0
Beijing Bites,Jeevan Bhima Nagar,"Chinese, Thai",292,3.2,850.0
Hyderabad Biryaani House,Old Airport Road,"Biryani, North Indian, Chinese",1626,3.9,700.0
Kya Khaoge,Old Airport Road,"North Indian, Chinese",69,3.8,300.0
Andal Mess,Indiranagar,"South Indian, North Indian",136,3.2,300.0
Bathinda Dine,Indiranagar,North Indian,760,4.1,950.0
Django,Indiranagar,"Beverages, Italian, Pizza, Burger",220,4.0,800.0
B.M.W - Bhookh Mitaane Wala,Koramangala 1st Block,"North Indian, South Indian, Chinese",510,3.7,500.0
Donne Biriyani Mane,Indiranagar,"Biryani, Mughlai",149,3.8,350.0
The Paratha Stories,Koramangala 1st Block,North Indian,38,3.3,400.0
Taco Bell,Indiranagar,"Mexican, American, Fast Food",393,4.1,600.0
Bhookha Sher,Old Airport Road,"North Indian, Fast Food",34,3.2,350.0
Ambur Hot Dum Biryani,Old Airport Road,Biryani,47,3.1,200.0
Green Pepper,Jeevan Bhima Nagar,"Seafood, South Indian, Chinese, Kerala",262,3.9,600.0
Punjabi's Food Corner,CV Raman Nagar,"North Indian, Chinese",89,3.6,250.0
Hungree Belly,Kaggadasapura,"Continental, North Indian, Chinese, Bengali",633,3.9,800.0
Aathurar,Jeevan Bhima Nagar,"Chettinad, Biryani, South Indian, Seafood",584,3.3,600.0
Moonlight Kitchens,Old Airport Road,"North Indian, Chinese",128,3.9,400.0
Delhi Highway,Indiranagar,"North Indian, Mughlai",3429,4.4,1500.0
Pot Biryani,Domlur,"North Indian, Chinese, Biryani, Seafood",466,3.9,600.0
Asha Sweets Center,Indiranagar,Street Food,61,4.1,200.0
Plantain Leaf,Thippasandra,"Andhra, Chinese, North Indian, Biryani",531,3.9,600.0
KF's Biryani's and Kababs,Koramangala 4th Block,"Biryani, Kebab",17,3.4,400.0
Onesta,Indiranagar,"Pizza, Cafe, Italian",4709,4.3,600.0
Savoury Express,Jeevan Bhima Nagar,Arabian,32,3.6,800.0
Sri Udupi Park,Old Airport Road,"South Indian, North Indian, Chinese, Beverages",448,3.7,300.0
Cheesy Juicy Burgers,Indiranagar,"Fast Food, Burger, Sandwich, Beverages",85,3.8,300.0
S P Dum Biryani,Jeevan Bhima Nagar,Biryani,77,3.3,400.0
Night Food Joint,Marathahalli,"North Indian, Chinese",295,2.8,500.0
Namma Madurai,Kaggadasapura,South Indian,179,3.0,200.0
The Chocolate Heaven,Old Airport Road,"Desserts, Cafe, Italian, Beverages",139,3.8,700.0
Vietnamese Kitchen,Indiranagar,"Chinese, Vietnamese, Momos, Thai",536,4.1,800.0
Sri Udupi Deluxe,Marathahalli,"North Indian, Chinese, South Indian, Fast Food",11,3.5,400.0
The Charcoal Factory,Koramangala 6th Block,"Burger, Pizza, Momos",291,4.1,600.0
Shahi Darbar,Ejipura,"Chinese, North Indian",5,3.2,300.0
Daba Delights,Koramangala 4th Block,"North Indian, Mughlai",9,3.3,400.0
Swaadpurna,Jeevan Bhima Nagar,"North Indian, South Indian, Chinese, Biryani",51,3.6,450.0
Brownie Heaven,Indiranagar,Desserts,132,4.3,300.0
Five Star Chicken,Jeevan Bhima Nagar,"Fast Food, Burger",69,3.7,300.0
Food Lover,Indiranagar,"North Indian, Chinese",35,3.7,400.0
Chai Point,Indiranagar,"Fast Food, Beverages",179,4.3,250.0
Rannaghar,Jeevan Bhima Nagar,"North Indian, Bengali, Chinese",144,3.9,600.0
Shalimar,Indiranagar,"North Indian, Chinese, Seafood",160,4.0,700.0
Pizza Joint Food Junction,Indiranagar,"Fast Food, Pizza",8,3.1,350.0
Night Food Delivery,Indiranagar,"Burger, Rolls, Sandwich, North Indian",24,2.9,500.0
Pizza Hut,Indiranagar,"Pizza, Fast Food",835,3.7,750.0
Imperial Restaurant,Indiranagar,"North Indian, Chinese, Mughlai, Seafood",241,3.9,800.0
Cream Stone,Indiranagar,"Desserts, Beverages",743,4.2,300.0
PurpleBasil.in,Indiranagar,"Healthy Food, Desserts",460,4.4,500.0
The Biryanis,Jeevan Bhima Nagar,"Andhra, Biryani, North Indian",427,3.8,500.0
Kokomo,Koramangala 6th Block,"Thai, Chinese",196,4.0,500.0
The Fatty Bao - Asian Gastro Bar,Indiranagar,"Japanese, Sushi, Asian",3818,4.6,1200.0
Coast,Jeevan Bhima Nagar,"Seafood, Mangalorean, North Indian, Biryani",68,3.2,750.0
Feel@Home,Marathahalli,"North Indian, Chinese",42,3.6,300.0
PreRit's Food Factory,Indiranagar,"North Indian, Chinese",74,3.7,300.0
Bangaliana,Indiranagar,Bengali,15,3.7,500.0
Nite Out,Koramangala 4th Block,"North Indian, Chinese, Biryani",1113,4.0,500.0
UBQ by Barbeque Nation,Indiranagar,"North Indian, BBQ, Biryani, Kebab",17,3.6,450.0
Thai Chy,Indiranagar,"Thai, Asian, Indonesian",451,4.3,1200.0
HomeDeli Kitchen,Jeevan Bhima Nagar,"North Indian, Chinese, Biryani",401,3.0,600.0
Bombay Sandwich Company,Indiranagar,"Sandwich, Beverages",40,3.0,400.0
Momo Rice Noodles,Domlur,"Chinese, Momos",87,3.2,600.0
Nando's,Indiranagar,"Portuguese, Wraps, Burger, Salad",1235,4.3,1200.0
Indiana Burgers,Domlur,Burger,50,3.2,300.0
Seafood Place,Indiranagar,"Chinese, North Indian, Kerala, Mangalorean, Seafood",298,4.1,800.0
Lepcha Foods & Refreshment,Thippasandra,"Chinese, Momos",23,3.4,350.0
The Pizza Bakery,Indiranagar,"Italian, Pizza, Beverages",1781,4.8,1200.0
Smoke House Deli,Indiranagar,"European, Italian, Desserts, Salad, Juices, Steak",5446,4.6,1600.0
Bangalore Mandarin,Indiranagar,"Chinese, Seafood",985,4.2,1100.0
Biryani Trip,Indiranagar,Biryani,64,4.0,400.0
Srinidhi Sagar,Old Airport Road,"South Indian, North Indian, Chinese",164,3.9,250.0
Cupcake Bliss,Domlur,Bakery,8,3.6,250.0
Eatsomnia,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",435,3.5,500.0
Smally's Resto Cafe,Indiranagar,"Cafe, Italian, Burger, American, Steak",424,4.1,650.0
Healthie,Indiranagar,"Healthy Food, Beverages",194,3.9,600.0
Samosa Singh,Thippasandra,"Street Food, Beverages",47,3.7,150.0
Thalis Of India,Indiranagar,"South Indian, North Indian, Beverages",21,3.4,500.0
Andhra Ruchulu,Old Airport Road,"Andhra, North Indian",51,4.0,400.0
Andhra Mess,Domlur,"Andhra, Biryani, Chinese",129,3.2,400.0
Smoor,Indiranagar,"Desserts, Cafe, Beverages",1732,4.6,900.0
Mota Bawarchi,Indiranagar,"North Indian, Fast Food",57,3.8,500.0
Lassi Shop,Jeevan Bhima Nagar,"Beverages, Juices, Ice Cream",215,4.0,100.0
Bharanis,Domlur,"Andhra, Biryani",18,3.5,600.0
Suryawanshi,Indiranagar,"Seafood, Maharashtrian",453,4.1,700.0
Delicacy,Jeevan Bhima Nagar,"Chinese, Thai, Momos",652,3.9,500.0
The Waffles Hut,Indiranagar,Desserts,42,4.0,400.0
Krispy Kreme,Indiranagar,"Desserts, Beverages",261,4.1,300.0
Subway,CV Raman Nagar,"Healthy Food, Sandwich, Salad",108,3.6,500.0
Just Khao Suey,Indiranagar,Burmese,183,4.0,600.0
Mainland China,Indiranagar,Chinese,1554,4.4,1700.0
Faasos,Thippasandra,"North Indian, Biryani, Fast Food",112,4.1,500.0
BFC Family Restaurant,Kaggadasapura,"North Indian, Biryani, Chinese, Rolls",426,3.2,600.0
Woodfire Pizza,Thippasandra,"Pizza, Fast Food",32,3.3,400.0
Anand Sweets and Savouries,Old Airport Road,"Mithai, Fast Food",262,4.0,400.0
Annabell,Indiranagar,"Fast Food, Burger, Beverages",269,4.0,800.0
Urban Tamaasha,Indiranagar,"North Indian, Chinese, Continental",880,4.1,1200.0
Salt Mango Tree,Indiranagar,Kerala,255,4.2,800.0
Burma Burma,Indiranagar,"Asian, Burmese",1674,4.7,1500.0
Pizza Stop,Domlur,"Pizza, Italian",166,3.2,600.0
Pasta Street,Indiranagar,"Italian, Pizza, Salad",1670,4.5,1300.0
Desi Chinese kitchen,Indiranagar,"Chinese, Asian",27,4.0,700.0
Keventers,Indiranagar,"Beverages, Desserts, Ice Cream",571,4.0,400.0
Mani's Dum Biryani,Jeevan Bhima Nagar,"Biryani, Andhra",690,4.0,750.0
Kick Out the Jams,Ejipura,"Burger, American, Italian",528,4.0,350.0
Cup Chronicles Cafe,Indiranagar,"Continental, Desserts, Beverages",58,3.9,450.0
Keto Kitchen,Indiranagar,Healthy Food,22,3.1,500.0
Crunch Pizzas - Express Delivery,Indiranagar,Pizza,239,3.0,500.0
Assi Tussi Lassi,Ejipura,"Beverages, Fast Food, Ice Cream",27,3.7,200.0
Tango Bango,Jeevan Bhima Nagar,"Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",124,3.5,500.0
Tata Cha,Indiranagar,"Cafe, Tea, North Indian",681,3.9,500.0
Dhaba - Estd 1986 Delhi,Indiranagar,"North Indian, Mughlai, Desserts",1522,4.4,1500.0
Karachi Bakery,Indiranagar,"Bakery, Fast Food, Beverages, Desserts",63,3.9,500.0
YumYumDilli,Indiranagar,North Indian,54,3.6,500.0
Coastal Delight,Indiranagar,"Seafood, South Indian, North Indian, Mangalorean, Chinese",198,4.1,650.0
Snacks Joint,Jeevan Bhima Nagar,Fast Food,186,3.7,150.0
AutoExpress - Hot Dogs,Indiranagar,"Fast Food, Hot dogs",19,3.7,300.0
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Thippasandra,"Fast Food, Sandwich",593,4.4,800.0
Monkey Bar,Indiranagar,"American, Asian, European, North Indian",3888,4.3,1400.0
Little Kolkata,Ejipura,"Bengali, North Indian",96,3.9,500.0
Thunder Fried Chicken,Jeevan Bhima Nagar,"North Indian, Biryani, Mughlai, Rolls",181,3.6,350.0
Cita Pani,Indiranagar,"Biryani, North Indian, Arabian",55,3.8,350.0
Mama Mia!,Indiranagar,"Desserts, Cafe",428,4.3,400.0
Glen's Bakehouse,Indiranagar,"Bakery, Cafe, Italian, Desserts",5352,4.3,600.0
Not Just Parathas,Kaggadasapura,"North Indian, Chinese",170,3.8,500.0
Sweet Truth,Thippasandra,"Bakery, Desserts",29,3.9,500.0
Roll Er Dokaan,Jeevan Bhima Nagar,"Street Food, Rolls",139,3.9,300.0
Snack House,Indiranagar,"Fast Food, Momos",26,3.9,200.0
Gokul Kuteera,Indiranagar,"North Indian, Chinese",260,3.9,650.0
Taste of Assam,Koramangala 4th Block,"Assamese, North Indian, Chinese",26,3.3,400.0
Wow Paratha,Jeevan Bhima Nagar,North Indian,38,3.9,400.0
Misal Darbar,Indiranagar,Maharashtrian,25,3.0,250.0
Gowdru Hotel,Indiranagar,South Indian,203,3.9,400.0
Stoner,Indiranagar,"Ice Cream, Pizza, Beverages",2699,4.4,550.0
No More Hungry,Jeevan Bhima Nagar,North Indian,214,3.3,450.0
Dhyaana,Indiranagar,"Cafe, Healthy Food, Fast Food, Beverages",156,4.3,600.0
Frozen Bottle,Indiranagar,"Beverages, Desserts, Ice Cream",174,4.1,400.0
Roll Over,Indiranagar,"Ice Cream, Beverages, Fast Food",217,4.2,500.0
Cafe Grill,Jeevan Bhima Nagar,"Chinese, North Indian, Rolls",505,4.1,300.0
North Indies,Kaggadasapura,North Indian,27,3.8,450.0
Just Eat,Indiranagar,"North Indian, Chinese, Beverages",18,3.4,500.0
Taiki,Indiranagar,"Asian, Japanese, Korean, Thai, Sushi",139,4.4,1200.0
Thai House,Indiranagar,Thai,232,4.2,1500.0
Grand Hotel,Old Airport Road,"Hyderabadi, Biryani",57,3.6,500.0
Bombay Brasserie,Indiranagar,Modern Indian,1908,4.4,1800.0
Ovenstory Pizza,Old Airport Road,Pizza,108,4.0,800.0
Gobble Up Churros Cafe,Indiranagar,"Street Food, Continental, Mexican, Beverages, Cafe, Desserts, Spanish",379,4.3,400.0
Under The Tree,Domlur,"Desserts, Juices, Fast Food",64,3.0,200.0
Treat,Indiranagar,"North Indian, Mughlai",553,3.9,800.0
Aagaman Veg,Indiranagar,"North Indian, Chinese, South Indian",560,4.0,900.0
Jonah's,Indiranagar,"Italian, Seafood, American, Continental",1856,4.1,1100.0
The Cake Mart,Old Airport Road,"Bakery, Desserts",22,3.7,600.0
Paratha Corner,CV Raman Nagar,North Indian,23,3.2,150.0
Crunch Pizzas,Domlur,"Italian, Pizza",331,2.9,600.0
Tea Brew,Indiranagar,"Cafe, Continental, Momos, Italian, North Indian",1157,4.1,500.0
InnerChef,Indiranagar,"North Indian, Continental",271,3.7,500.0
Bob's Restaurant,Jeevan Bhima Nagar,"North Indian, Chinese",331,4.0,500.0
Hotel Karavali,Jeevan Bhima Nagar,"Biryani, North Indian, Mangalorean, Seafood",264,3.7,450.0
Imli,Indiranagar,"North Indian, Street Food",1850,3.8,800.0
Sabari Juice Junction,Jeevan Bhima Nagar,"Beverages, Sandwich",132,4.1,250.0
Chung Wah Express,Indiranagar,"Chinese, Thai, Momos, Vietnamese",97,2.8,600.0
Mamagoto,Indiranagar,"Asian, Thai, Chinese, BBQ, Momos",2579,4.4,1600.0
YumYumSouth,Indiranagar,South Indian,40,3.0,600.0
One Chu Restaurant,Old Airport Road,"Chinese, Momos",327,3.9,600.0
Clean Bowled,Indiranagar,"Healthy Food, Salad",6,3.4,300.0
All Shook Up!,Domlur,"Desserts, Beverages",77,3.9,300.0
Grill Hut,Kaggadasapura,"Fast Food, Rolls",84,3.6,350.0
Malabar,Jeevan Bhima Nagar,"Kerala, Seafood, Biryani",162,3.0,400.0
Mood For Food,Jeevan Bhima Nagar,"North Indian, Biryani",151,4.0,800.0
Yomama!!,Indiranagar,"Continental, Burger, Cafe, Steak",341,4.0,800.0
New Tandoor,CV Raman Nagar,"North Indian, Chinese, Mughlai, Rolls",293,3.5,550.0
Taza Tawa,Jeevan Bhima Nagar,"North Indian, Chinese, Kebab, Beverages",170,3.8,550.0
Cafe Coffee Day,Indiranagar,"Cafe, Fast Food",72,3.7,900.0
Vimmi's Cafe,Indiranagar,American,30,2.7,500.0
The Belgian Waffle Co.,Indiranagar,"Desserts, Beverages",74,4.0,350.0
Manju's Kitchen,Indiranagar,Chinese,14,3.3,300.0
Biggies Burger 'n' More,Indiranagar,"Cafe, Burger, Fast Food",195,4.3,400.0
Chung's Chinese Corner,Indiranagar,"Chinese, Asian, American, Seafood",290,2.7,600.0
Raat Ki Rani,Jeevan Bhima Nagar,"Fast Food, North Indian",267,4.3,400.0
